id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type,precio_en_miles
DBPQL76zJq3kTLG5PtMeQA==,Caballito,2,1,58,48,115000,Departamento,115
sP7idnH31btOmXpqoCCoHg==,Caballito,2,1,100,49,180000,Departamento,180
wMwVXDbHRSoyYmdVXdasoQ==,Monserrat,2,1,36,36,59800,Departamento,60
ROuUnyd1jQKfl5qRAbsuRg==,Monserrat,1,1,95,95,270000,Departamento,270
mL+SoJ8lPP4NDy83pftkmQ==,San Telmo,2,1,49,34,75000,Departamento,75
wcvtvcJkUeTr3en/Cg53DA==,San Telmo,4,2,157,151,499000,Departamento,499
eS9yNNmBLaazelKjgQZy4Q==,Barrio Norte,2,1,89,49,349000,Departamento,349
jixBsGcpR+Qb0MguSLOd0w==,Barrio Norte,2,1,40,40,90000,Departamento,90
dOvkFzBNMznCO+tBjw8Xtw==,San Nicolás,1,1,40,33,200000,Departamento,200
QQkzweOqQ+tqVUJnDm/JsQ==,San Nicolás,1,1,42,38,200000,Departamento,200
GH4W77OqY7WyB2H+b8krFQ==,Villa Crespo,2,1,40,38,79000,Departamento,79
OI49/gSohRXJdIurev4RIg==,Villa Urquiza,2,1,48,48,85000,Departamento,85
tE+EnH8eJwTMhSjuzqZ9JQ==,Villa Pueyrredón,2,1,53,46,94500,Departamento,94
uEHOKc1+sWLe05OcKyoWZA==,Caballito,3,1,101,78,148000,PH,148
VOCGkB0+tjaE4JNqdJHx+w==,Caballito,3,1,74,74,125000,PH,125
sKb/2Ukg6X6Q1ZUbMUJGcw==,Villa Urquiza,3,2,67,63,110000,PH,110
OZ3BMQpegJ6u3AVGfhxm8w==,Villa Urquiza,3,2,110,93,130000,PH,130
DB+k9qB6cAOoNw7nS7LPtQ==,Villa Urquiza,3,1,68,53,117000,PH,117
aIZ19yRrp9EJ3c27KX8tIA==,Parque Avellaneda,3,1,78,65,99999,PH,100
m/YnIlLAoUP7NjsyP8ZFQg==,Parque Avellaneda,3,1,64,64,69500,PH,70
EMAUfQmi9B03v+S6LJoV2w==,Liniers,3,1,80,65,93000,Departamento,93
